	x		cosh(x/2)		cosh’(x/2)
1.00	      1.13	      0.27
1.05	      1.14	      0.28
1.10	      1.16	      0.30
1.15	      1.17	      0.31
1.20	      1.19	      0.33
1.25	      1.20	      0.34
1.30	      1.22	      0.36
1.35	      1.24	      0.37
1.40	      1.26	      0.39
1.45	      1.28	      0.40
1.51	      1.30	      0.42
1.56	      1.32	      0.44
1.61	      1.34	      0.45
1.66	      1.36	      0.47
1.71	      1.39	      0.49
1.76	      1.41	      0.51
1.81	      1.44	      0.53
1.86	      1.46	      0.54
1.91	      1.49	      0.56
1.96	      1.52	      0.58
2.01	      1.55	      0.60
2.06	      1.58	      0.62
2.11	      1.61	      0.64
2.16	      1.64	      0.66
2.21	      1.68	      0.68
2.26	      1.71	      0.71
2.31	      1.75	      0.73
2.36	      1.78	      0.75
2.41	      1.82	      0.77
2.46	      1.86	      0.80
2.52	      1.90	      0.82
2.57	      1.94	      0.84
2.62	      1.98	      0.87
2.67	      2.03	      0.90
2.72	      2.07	      0.92
2.77	      2.12	      0.95
2.82	      2.17	      0.98
2.87	      2.22	      1.00
2.92	      2.27	      1.03
2.97	      2.32	      1.06
3.02	      2.37	      1.09
3.07	      2.43	      1.12
3.12	      2.49	      1.15
3.17	      2.54	      1.19
3.22	      2.60	      1.22
3.27	      2.67	      1.25
3.32	      2.73	      1.29
3.37	      2.79	      1.32
3.42	      2.86	      1.36
3.47	      2.93	      1.40
3.53	      3.00	      1.43
3.58	      3.07	      1.47
3.63	      3.15	      1.51
3.68	      3.22	      1.55
3.73	      3.30	      1.59
3.78	      3.38	      1.64
3.83	      3.46	      1.68
3.88	      3.55	      1.73
3.93	      3.64	      1.77
3.98	      3.73	      1.82
4.03	      3.82	      1.87
4.08	      3.91	      1.92
4.13	      4.01	      1.97
4.18	      4.11	      2.02
4.23	      4.21	      2.07
4.28	      4.31	      2.13
4.33	      4.42	      2.18
4.38	      4.53	      2.24
4.43	      4.65	      2.30
4.48	      4.76	      2.36
4.54	      4.88	      2.42
4.59	      5.00	      2.48
4.64	      5.13	      2.55
4.69	      5.26	      2.61
4.74	      5.39	      2.68
4.79	      5.52	      2.75
4.84	      5.66	      2.82
4.89	      5.81	      2.90
4.94	      5.95	      2.97
4.99	      6.10	      3.05
5.04	      6.26	      3.13
5.09	      6.41	      3.21
5.14	      6.58	      3.29
5.19	      6.74	      3.38
5.24	      6.91	      3.46
5.29	      7.09	      3.55
5.34	      7.27	      3.65
5.39	      7.45	      3.74
5.44	      7.64	      3.84
5.49	      7.83	      3.93
5.55	      8.03	      4.04
5.60	      8.24	      4.14
5.65	      8.45	      4.25
5.70	      8.66	      4.36
5.75	      8.88	      4.47
5.80	      9.11	      4.58
5.85	      9.34	      4.70
5.90	      9.57	      4.82
5.95	      9.82	      4.95
6.00	     10.07
